date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:45	98575/98575	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:45%20GMT	https://www.bnpparibas.nl/nl/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/index.html	(from )
21:38:47	259/259	---M-Z	200	added ('OK')	text/plain	date:Tue,%2001%20Jul%202025%2018:38:45%20GMT	https://www.bnpparibas.nl/robots.txt		(from )
21:38:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jul%202025%2018:38:47%20GMT	https://www.bnpparibas.nl/nl/i	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/i	(from https://www.bnpparibas.nl/nl/)
21:38:49	95374/95374	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:49%20GMT	https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/index.html	(from https://www.bnpparibas.nl/nl/)
21:38:49	60724/60724	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Jul%202025%2018:38:49%20GMT	https://www.bnpparibas.nl/nl/Firefox/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/Firefox/index.html	(from https://www.bnpparibas.nl/nl/)
21:38:50	25884/25884	---M-Z	200	added ('OK')	application/javascript	etag:0x8DDB77CBF6D73AB	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.bnpparibas.nl/nl/)
21:38:50	95021/95021	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20May%202023%2009:47:51%20GMT	https://www.bnpparibas.nl/wp-includes/css/dist/block-library/style.min.css?ver=837c0f3b04	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/wp-includes/css/dist/block-library/style.min2c8d.css	(from https://www.bnpparibas.nl/nl/)
21:38:50	217/217	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2014:20:42%20GMT	https://www.bnpparibas.nl/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/wp-includes/css/classic-themes.min68b3.css	(from https://www.bnpparibas.nl/nl/)
21:38:50	374/374	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202022%2015:31:28%20GMT	https://www.bnpparibas.nl/app/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/plugins/wp-pagenavi/pagenavi-css44fd.css	(from https://www.bnpparibas.nl/nl/)
21:38:51	120627/120627	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202024%2016:22:42%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css	(from https://www.bnpparibas.nl/nl/)
21:38:51	1287/1287	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Apr%202022%2008:11:00%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2022/02/cropped-cropped-cropped-apple-touch-icon/3058200488.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2022/02/cropped-cropped-cropped-apple-touch-icon/3058200488.png	(from https://www.bnpparibas.nl/nl/)
21:38:53	15516/15516	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Apr%202022%2008:11:00%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2022/02/cropped-cropped-cropped-apple-touch-icon/1015764453.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2022/02/cropped-cropped-cropped-apple-touch-icon/1015764453.png	(from https://www.bnpparibas.nl/nl/)
